asin,brand,title,url,price,list_price,discount_pct,rating,rating_count,review_count,image_url,bullet_features,category_hint
B0622VXYZX,Skybags,Skybags Teal Polyester Softside Trolley Bag - Large (28 inch) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B09JPNBZUG,3260.0,10390.0,68.6,4.0,4387,465,,"['Polyester Softside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Large
B06UXQM334,Skybags,Skybags Navy Blue Nylon Softside Trolley Bag - Cabin (20 inch) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B0L1VZNQDX,1690.0,3880.0,56.5,3.9,894,121,,"['Nylon Softside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Cabin
B02FTOM5XL,Skybags,Skybags Champagne PC+ABS Hardside Trolley Bag - Large (28 inch) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B0K8WRU1XE,1660.0,4270.0,61.2,3.2,4414,289,,"['PC+ABS Hardside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Large
B06NQQB9LZ,Skybags,Skybags Polycarbonate Hardside Luggage Combo (Cabin + Medium + Large) - Grey,https://www.amazon.in/dp/B0S34JTGXN,4330.0,7380.0,41.3,4.0,1843,357,,"['Polycarbonate Hardside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Set
B0WR965R96,Skybags,Skybags Navy Blue Polycarbonate Hardside Trolley Bag - Cabin (20 inch) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B0KHUB2RTS,3690.0,9950.0,62.9,4.0,4100,585,,"['Polycarbonate Hardside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Cabin
B0JOTG6JNA,Skybags,Skybags Champagne Polycarbonate Hardside Trolley Bag - Large (28 inch) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B09ZN9I9H0,1630.0,4340.0,62.5,4.1,1346,81,,"['Polycarbonate Hardside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Large
B01P0VUH17,Skybags,Skybags Olive PC+ABS Hardside Trolley Bag - Medium (24 inch) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B0J8QO09VS,4380.0,13300.0,67.1,3.0,3195,370,,"['PC+ABS Hardside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Medium
B06P61XUFC,Skybags,Skybags White PC+ABS Hardside Trolley Bag - Medium (65 cm) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B0TZG4FBL9,6370.0,12560.0,49.3,3.7,5926,832,,"['PC+ABS Hardside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Medium
B0YM0WBGLM,Skybags,Skybags Grey Polyester Softside Trolley Bag - Cabin (20 inch) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B0Y62XRW6T,5990.0,11800.0,49.2,3.8,200,13,,"['Polyester Softside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Cabin
B077Z69UWS,Skybags,Skybags ABS Hardside Luggage Combo (Cabin + Medium + Large) - Grey,https://www.amazon.in/dp/B044C68AU9,2410.0,6650.0,63.8,4.1,5716,596,,"['ABS Hardside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Set
B0IY1SY9LA,Skybags,Skybags Teal Polyester Softside Trolley Bag - Large (28 inch) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B0ACOSYM0J,6230.0,11920.0,47.7,3.8,5681,1051,,"['Polyester Softside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Large
B0VMEFOZTP,Safari,Safari Navy Blue PC+ABS Hardside Trolley Bag - Large (75 cm) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B07BD4W1AR,1150.0,4390.0,73.9,3.8,3793,235,,"['PC+ABS Hardside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Large
B0WM7S6NBN,Safari,Safari Burgundy Nylon Softside Trolley Bag - Cabin (20 inch) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B0QBNXZU1E,2540.0,6950.0,63.4,3.8,11517,740,,"['Nylon Softside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Cabin
B0B1R8VNRP,Safari,Safari Polyester Softside Luggage Combo (Cabin + Medium + Large) - Navy Blue,https://www.amazon.in/dp/B0JY93N0AJ,950.0,3420.0,72.2,3.9,10864,1044,,"['Polyester Softside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Set
B0M0A6MDMM,Safari,Safari Nylon Softside Luggage Combo (Cabin + Medium + Large) - White,https://www.amazon.in/dp/B0MXIXV6CK,3450.0,7410.0,53.5,4.5,2400,307,,"['Nylon Softside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Set
B030QABXW2,Safari,Safari ABS Hardside Luggage Combo (Cabin + Medium + Large) - Navy Blue,https://www.amazon.in/dp/B0EOWLCFS8,2500.0,5640.0,55.6,4.2,10165,2001,,"['ABS Hardside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Set
B0WJ85GG0V,Safari,Safari Polycarbonate Hardside Luggage Combo (Cabin + Medium + Large) - Black,https://www.amazon.in/dp/B05DTAEGRY,3760.0,8160.0,53.9,3.6,11281,1485,,"['Polycarbonate Hardside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Set
B0Z3CC5RQN,Safari,Safari Navy Blue Polyester Softside Trolley Bag - Medium (65 cm) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B0SVSOJRPP,3450.0,7800.0,55.8,3.8,1905,170,,"['Polyester Softside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Medium
B07QHAK7MD,Safari,Safari Polyester Softside Luggage Combo (Cabin + Medium + Large) - White,https://www.amazon.in/dp/B0WKZIRNK6,1090.0,3400.0,68.0,4.0,7880,1152,,"['Polyester Softside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Set
B0F4JD1KSI,Safari,Safari Champagne ABS Hardside Trolley Bag - Medium (24 inch) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B0BSMQPNRJ,1560.0,3690.0,57.8,4.0,6478,908,,"['ABS Hardside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Medium
B05TXC066O,Safari,Safari Nylon Softside Luggage Set of 3 (Cabin + Medium + Large) - Champagne,https://www.amazon.in/dp/B01EN1S2OF,3620.0,6950.0,47.9,4.0,2887,284,,"['Nylon Softside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Set
B0OGPS0132,Safari,Safari White Nylon Softside Trolley Bag - Large (75 cm) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B0AN417VF0,1280.0,4050.0,68.4,3.9,1610,172,,"['Nylon Softside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Large
B09B7LNKZX,Safari,Safari Nylon Softside Luggage Set of 3 (Cabin + Medium + Large) - Navy Blue,https://www.amazon.in/dp/B08YX7WR2L,1920.0,3850.0,50.1,4.6,2028,323,,"['Nylon Softside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Set
B0BUXDJ1DE,Safari,Safari Red PC+ABS Hardside Trolley Bag - Cabin (55 cm) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B0K8G9XIB8,930.0,2240.0,58.4,3.8,5449,397,,"['PC+ABS Hardside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Cabin
B0DP4FMPM5,Safari,Safari Red Polyester Softside Trolley Bag - Cabin (55 cm) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B0HGBO06FH,2370.0,5400.0,56.2,3.4,9088,1005,,"['Polyester Softside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Cabin
B0GG5GR0XA,VIP,VIP Champagne ABS Hardside Trolley Bag - Medium (24 inch) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B0FGOVCCI6,1730.0,5260.0,67.1,4.6,1785,342,,"['ABS Hardside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Medium
B0918SLOME,VIP,VIP Burgundy Polycarbonate Hardside Trolley Bag - Medium (65 cm) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B0YL6SS1A2,2440.0,6730.0,63.7,4.3,5306,273,,"['Polycarbonate Hardside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Medium
B0R17DPUBK,VIP,VIP Navy Blue Polycarbonate Hardside Trolley Bag - Cabin (55 cm) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B0PIQNHQE8,3060.0,7370.0,58.5,4.0,6988,561,,"['Polycarbonate Hardside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Cabin
B0J1OULWOZ,VIP,VIP PC+ABS Hardside Luggage Set of 3 (Cabin + Medium + Large) - Black,https://www.amazon.in/dp/B0Q48ENWBB,2990.0,5030.0,40.5,3.2,7050,968,,"['PC+ABS Hardside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Set
B0D3U94SGF,VIP,VIP White Polyester Softside Trolley Bag - Cabin (20 inch) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B0DK0Q09JR,3120.0,6870.0,54.6,4.1,4305,698,,"['Polyester Softside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Cabin
B0X6WB68Q0,VIP,VIP Champagne Nylon Softside Trolley Bag - Cabin (20 inch) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B0J9M4SMZO,1860.0,3610.0,48.5,4.2,5210,294,,"['Nylon Softside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Cabin
B07A2HVNYA,VIP,VIP Teal Nylon Softside Trolley Bag - Medium (24 inch) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B0RNNEZTEE,1650.0,4780.0,65.5,4.2,3981,220,,"['Nylon Softside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Medium
B02I397I6Y,VIP,VIP Polycarbonate Hardside Luggage Combo (Cabin + Medium + Large) - Teal,https://www.amazon.in/dp/B0XV2MEOSF,3870.0,6700.0,42.3,3.7,4024,660,,"['Polycarbonate Hardside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Set
B02LM1CBHT,VIP,VIP Red PC+ABS Hardside Trolley Bag - Large (75 cm) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B094OZKFNO,5720.0,9630.0,40.6,4.3,6462,415,,"['PC+ABS Hardside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Large
B0J7VBJRBZ,VIP,VIP Grey Nylon Softside Trolley Bag - Cabin (20 inch) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B0JW83579W,3860.0,6450.0,40.2,3.9,6293,1251,,"['Nylon Softside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Cabin
B0MXPKN3B8,VIP,VIP Grey ABS Hardside Trolley Bag - Cabin (20 inch) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B0PFY4QCYD,2100.0,3910.0,46.3,4.1,7383,559,,"['ABS Hardside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Cabin
B0SG6Q0IQZ,VIP,VIP White ABS Hardside Trolley Bag - Large (75 cm) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B0HECBUQYP,3100.0,6770.0,54.2,4.3,6628,896,,"['ABS Hardside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Large
B0RGSS8K5I,VIP,VIP PC+ABS Hardside Luggage Combo (Cabin + Medium + Large) - Grey,https://www.amazon.in/dp/B0JULP98RL,5210.0,9940.0,47.6,4.2,6921,900,,"['PC+ABS Hardside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Set
B0XOQ8JXLF,VIP,VIP Teal Polyester Softside Trolley Bag - Large (75 cm) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B0IUEFZ1C2,1990.0,5760.0,65.4,3.4,1633,247,,"['Polyester Softside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Large
B0MY6PO0M2,Aristocrat,Aristocrat White Polycarbonate Hardside Trolley Bag - Cabin (55 cm) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B04US73W1Y,2370.0,5080.0,53.3,5.0,12917,1133,,"['Polycarbonate Hardside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Cabin
B0SO19V58B,Aristocrat,Aristocrat Silver ABS Hardside Trolley Bag - Medium (24 inch) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B01V1CCOFH,1090.0,3570.0,69.5,3.7,13481,2467,,"['ABS Hardside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Medium
B087MHXOFK,Aristocrat,Aristocrat Grey Polyester Softside Trolley Bag - Medium (65 cm) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B0CGGXP5CI,1180.0,5040.0,76.6,4.2,5992,1179,,"['Polyester Softside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Medium
B088WLXWCE,Aristocrat,Aristocrat Navy Blue Polycarbonate Hardside Trolley Bag - Cabin (55 cm) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B077GZDPYH,2420.0,6000.0,59.6,4.0,9947,1779,,"['Polycarbonate Hardside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Cabin
B0ICYAXZRB,Aristocrat,Aristocrat PC+ABS Hardside Luggage Set of 3 (Cabin + Medium + Large) - Red,https://www.amazon.in/dp/B0188ELNWO,2410.0,6440.0,62.6,3.7,2288,247,,"['PC+ABS Hardside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Set
B0PMOZKNHP,Aristocrat,Aristocrat Black Polyester Softside Trolley Bag - Cabin (55 cm) | 360° Wheels | TSA Lock,https://www.amazon.in/dp/B0VRWBRBLB,800.0,2980.0,73.2,3.8,7815,633,,"['Polyester Softside construction with reinforced corners', 'Smooth 360° spinner wheels for easy maneuverability', 'Built-in TSA-approved combination lock for secure travel', 'Spacious main compartment with cross ribbons and divider', 'Telescopic aluminium trolley handle with multiple stops', '5 year international warranty']",Cabin
